id,y_true,pred_M0,pred_M1,pred_M2,pred_M3
0,9,9,9,9,9
1,5,6,5,5,5
2,46,4,46,46,46
3,18,1,18,18,18
4,7,8,7,7,7
5,24,0,0,0,0
6,19,2,19,19,19
7,9,0,9,9,9
8,8,8,8,8,8
9,5,6,5,5,5
10,8,9,8,8,8
11,23,1,23,23,23
12,17,8,17,17,17
13,3,3,3,3,3
14,4,4,4,4,4
15,21,1,1,1,1
16,9,9,9,9,9
17,46,1,38,38,38
18,21,43,21,21,21
19,0,24,24,24,24
20,2,2,2,2,2
21,2,2,2,2,2
22,2,7,2,2,2
23,27,39,27,27,27
24,45,39,45,45,45
25,22,43,22,22,22
26,28,2,28,28,28
27,2,2,2,2,2
28,36,39,36,10,36
29,3,3,3,3,3
30,9,8,9,9,9
31,30,4,30,30,30
32,8,8,8,8,8
33,2,2,2,2,2
34,2,9,2,2,2
35,3,0,3,3,3
36,26,0,26,26,26
37,36,39,36,36,36
38,2,7,2,2,2
39,36,4,36,36,36
40,5,8,5,5,5
41,24,0,0,0,0
42,19,6,19,19,19
43,43,24,43,43,43
44,9,4,9,9,9
45,24,0,24,24,0
46,0,0,0,0,0
47,8,8,8,8,8
48,16,3,16,16,16
49,9,8,41,41,41
50,12,4,12,12,39
51,39,0,39,39,39
52,34,8,31,34,34
53,28,2,28,28,28
54,24,0,0,0,0
55,5,39,5,5,5
56,5,6,5,5,5
57,39,39,39,39,39
58,2,2,2,2,2
59,18,1,18,18,18
60,21,4,18,18,18
61,9,0,9,9,9
62,20,4,20,20,20
63,15,8,15,15,15
64,45,39,29,45,45
65,46,39,46,46,46
66,6,6,6,6,6
67,4,24,4,4,4
68,7,7,7,7,7
69,2,2,2,2,2
70,24,39,15,15,15
71,24,0,0,0,0
72,18,1,1,1,1
73,43,0,43,43,43
74,8,6,8,8,8
75,19,3,19,19,19
76,4,4,4,4,4
77,8,8,8,8,8
78,35,39,35,35,35
79,6,6,6,6,6
80,1,1,1,1,1
81,14,8,14,15,14
82,4,4,4,4,4
83,9,4,9,9,9
84,1,1,1,1,1
85,24,24,24,24,24
86,2,2,2,2,2
87,10,2,10,10,10
88,5,5,5,5,5
89,1,1,1,1,1
90,8,8,8,8,8
91,9,0,9,9,9
92,0,2,24,6,0
93,1,1,1,1,1
94,0,2,0,0,0
95,36,2,36,36,36
96,28,2,28,28,28
97,7,43,7,7,7
98,0,0,0,0,0
99,1,1,1,1,1
100,9,9,9,9,9
101,18,1,1,1,1
102,9,9,9,9,9
103,39,39,39,39,39
104,29,39,29,29,29
105,24,0,0,0,0
106,46,9,46,46,46
107,23,39,23,23,23
108,0,24,24,24,24
109,9,24,41,41,41
110,34,8,34,34,34
111,9,8,9,9,9
112,7,7,7,7,7
113,1,1,1,1,1
114,2,2,2,2,2
115,32,2,32,32,32
116,18,1,1,18,21
117,28,6,28,5,28
118,9,9,9,9,9
119,2,2,2,2,2
120,8,39,8,8,8
121,22,43,22,22,22
122,8,1,8,8,8
123,9,9,9,9,9
124,25,8,25,25,25
125,33,1,33,33,33
126,5,8,5,5,5
127,18,1,18,18,18
128,30,4,30,30,30
129,33,8,33,33,33
130,4,4,4,4,4
131,2,2,2,2,2
132,39,39,39,39,39
133,24,0,24,24,0
134,35,39,35,35,35
135,42,2,42,42,42
136,3,3,3,3,3
137,7,3,7,7,7
138,6,3,6,6,6
139,30,0,30,30,30
140,6,6,6,6,6
141,1,1,1,18,1
142,18,1,18,18,18
143,46,1,46,46,46
144,44,9,9,9,9
145,8,8,8,8,8
146,9,9,9,9,9
147,12,0,12,12,12
148,45,39,45,45,45
149,44,0,36,0,36
150,6,6,6,6,6
151,6,6,6,6,6
152,22,1,22,22,22
153,1,8,1,1,1
154,30,0,30,30,30
155,15,6,40,40,15
156,20,39,20,20,20
157,24,2,24,24,36
158,3,3,3,3,3
159,7,8,29,7,29
160,6,0,6,6,6
161,24,0,0,0,0
162,34,8,34,34,34
163,35,2,35,35,35
164,30,2,30,30,30
165,15,39,15,15,15
166,2,2,2,2,2
167,45,0,45,45,45
168,8,8,8,8,8
169,46,8,46,46,46
170,2,2,2,2,2
171,2,2,2,2,2
172,9,9,9,9,9
173,15,6,15,15,15
174,0,0,0,0,0
175,28,3,28,28,28
176,8,8,8,8,8
177,32,39,32,32,32
178,36,39,36,36,36
179,33,8,33,33,33
180,6,6,6,6,6
181,3,3,3,3,3
182,21,1,1,1,1
183,4,4,4,4,4
184,32,8,32,32,32
185,29,8,29,29,29
186,43,2,43,43,43
187,1,4,1,1,1
188,2,2,2,2,2
189,9,3,9,9,9
190,42,6,42,42,42
191,7,7,7,7,7
192,21,1,1,1,1
193,35,2,35,35,35
194,12,0,12,12,12
195,30,3,30,30,30
196,33,8,33,33,33
197,3,3,3,3,3
198,42,7,42,42,42
199,3,8,3,3,3
200,30,0,0,0,0
201,10,2,10,10,10
202,25,8,25,25,25
203,23,39,23,23,23
204,27,39,27,27,11
205,24,24,24,24,24
206,5,4,5,5,5
207,45,8,27,27,27
208,20,39,23,20,23
209,2,2,2,2,27
210,30,2,30,30,30
211,46,1,46,46,46
212,41,4,7,41,7
213,24,24,0,24,0
214,1,1,1,46,1
215,18,1,18,18,18
216,22,43,22,22,22
217,20,39,20,20,20
218,44,8,8,8,8
219,15,39,15,15,15
220,6,6,6,6,6
221,45,1,45,45,45
222,6,8,6,6,6
223,22,39,22,22,22
224,6,24,6,6,6
225,13,24,13,13,13
226,2,2,2,2,2
227,24,0,24,24,0
228,0,24,24,24,24
229,23,0,23,23,23
230,10,2,10,10,10
231,18,1,1,1,1
232,5,5,5,5,5
